Club,Average_Age,Average_potential,Highest_Paid_Player,Highest_Paid_Wage(Euros),Position,Total_Players,Country_with_most_players
Junior FC,26.17857143,71.78571429,Y. González,6,ST,28,Uruguay
Juventus,27.16,85.52,W. Szczęsny,95,ST,25,Uruguay
Júbilo Iwata,27.56666667,64.2,Y. Ota,4,ST,30,Uzbekistan
KAA Gent,23.82142857,75.39285714,Y. Thoelen,8,ST,28,Ukraine
KAS Eupen,25.17857143,71.35714286,Y. Toyokawa,8,ST,28,Spain
KFC Uerdingen 05,26.07142857,66.82142857,T. Öztürk,6,ST,28,Slovenia
KRC Genk,22.8,77.96,Z. Gano,9,ST,25,Ukraine
KSV Cercle Brugge,24.53571429,71.46428571,Y. Etienne,8,ST,28,Togo
KV Kortrijk,25.64285714,70.82142857,T. Kaminski,9,ST,28,Uruguay
KV Oostende,23.61538462,73.15384615,Z. Tomašević,9,ST,26,Zambia
Kaizer Chiefs,26.2962963,69.48148148,W. Meyiwa,1,ST,27,Zimbabwe
Kalmar FF,24.59259259,68.55555556,V. Elm,4,ST,27,Sweden
Karlsruher SC,24.67857143,68.39285714,T. Kircher,5,ST,28,Turkey
Kashima Antlers,26,70.56666667,Y. Suzuki,8,ST,30,Korea Republic
Kashiwa Reysol,25.39285714,67.96428571,Y. Segawa,9,ST,28,Korea Republic
Kasimpaşa SK,25,71.60869565,V. Sarı,9,ST,23,Turkey
Kawasaki Frontale,26.63333333,67.43333333,Y. Wakizaka,7,ST,30,Philippines
Kayserispor,27,72.08,Varela,9,ST,25,Ukraine
Kilmarnock,24.25,69.92857143,W. Graham,7,ST,28,Scotland
Korona Kielce,24.2962963,66,Z. Janjić,3,ST,27,Spain
Kristiansund BK,25.70833333,65.875,T. Gjertsen,2,ST,24,Sweden
LA Galaxy,27.16,70.92,Z. Ibrahimović,6,ST,25,Venezuela
LASK Linz,24.25,69.5,Y. Otubanjo,8,ST,24,Turkey
LOSC Lille,22,78.96,Y. Koné,9,ST,25,Turkey
La Berrichonne de Châteauroux,25.91666667,67.125,Y. M'Bone,5,ST,24,Venezuela
La Equidad,26.57142857,68.32142857,W. Pacheco,3,ST,28,Uruguay
Lazio,25.3125,79.4375,Wallace,8,ST,32,Uruguay
Le Havre AC,23.83333333,70.53333333,Z. Ferhat,7,ST,30,Zimbabwe
Lecce,26.62068966,67.72413793,T. Haye,4,ST,29,Netherlands
Lech Poznań,26.07407407,68.55555556,V. Kostevych,9,ST,27,Ukraine
Lechia Gdańsk,24.88888889,69.85185185,Z. Alomerović,7,ST,27,Slovakia
Leeds United,23.2,75.33333333,W. Huffer,9,ST,30,Wales
Legia Warszawa,27.37037037,71.55555556,W. Rémy,8,ST,27,Spain
Leicester City,25.5625,78.25,Y. Benalouane,96,ST,32,Wales
Levante UD,24.625,76.75,Toño García,86,ST,32,Uruguay
Lillestrøm SK,24.45833333,66.83333333,T. Lehne Olsen,3,ST,24,United States
Limerick FC,22.94736842,61.26315789,W. Fitzgerald,1,ST,19,Republic of Ireland
Lincoln City,25.35714286,65.42857143,T. Pett,8,ST,28,Wales
Liverpool,24,82.39393939,X. Shaqiri,99,ST,33,Switzerland
Livingston FC,24.17857143,66.78571429,S. Saunders,7,ST,28,Togo
Livorno,26.23333333,68.13333333,T. Romboli,8,ST,30,Switzerland
Lobos BUAP,27,69.2962963,Yago,8,ST,27,United States
Lokomotiv Moscow,27.07142857,75.92857143,Éder,1,ST,28,Ukraine
Los Angeles FC,25.84,72.6,W. Zimmerman,9,ST,25,Uruguay
Luton Town,24.32,67.84,S. Bradley,5,ST,25,Scotland
MKE Ankaragücü,28.5862069,70.55172414,Y. Mokhtar,9,ST,29,Turkey
MSV Duisburg,24.88461538,71.38461538,Y. Regäsel,7,ST,26,United States
Macclesfield Town,25.46153846,63.53846154,T. Marsh,8,ST,26,Wales
Malmö FF,25.40740741,71.77777778,W. Viitala,7,ST,27,United States
Manchester City,23.90909091,83.90909091,V. Kompany,84,ST,33,Ukraine
Manchester United,24.75757576,82.66666667,V. Lindelöf,96,ST,33,Wales
Mansfield Town,24.46428571,67.82142857,Z. Hakeem,6,ST,28,Wales
Medipol Başakşehir FK,27.46428571,73.96428571,Y. Avcılar,6,ST,28,Turkey
Melbourne City FC,25.36,68.44,S. Jamieson,7,ST,25,Uruguay
Melbourne Victory,25.57142857,68.61904762,T. Deng,7,ST,21,Sweden
Middlesbrough,25.5,74.03333333,T. O'Neill,9,ST,30,Spain
Miedź Legnica,26.88888889,65.88888889,W. Łobodziński,3,ST,27,Ukraine
Milan,25,82.55555556,T. Bakayoko,98,RW,27,Uruguay
Millonarios FC,26.57142857,71.14285714,W. Faríñez,8,ST,28,Venezuela
Millwall,24.7,69.9,T. Elliott,9,ST,30,Wales
Milton Keynes Dons,24.64285714,68.64285714,W. Sietsma,7,ST,28,Wales
Minnesota United FC,26.53333333,69.06666667,W. Omsberg,8,ST,30,United States
Molde FK,23.76923077,71.42307692,Álex Craninx,6,ST,26,Sweden
Monarcas Morelia,25,71.14285714,S. Vegas,9,ST,28,Uruguay
Monterrey,24.69230769,75.26923077,S. Villarreal,7,ST,26,Uruguay
Montpellier HSC,24.75,75.96428571,Y. Ammour,8,ST,28,Uruguay
Montreal Impact,26.13793103,69.27586207,Z. Diallo,5,ST,29,Uruguay
Morecambe,25.07142857,62.17857143,Z. Mills,4,ST,28,Wales
Moreirense FC,25.48,72.6,Ângelo Neto,6,ST,25,Uruguay
Motherwell,24.03571429,68.25,T. Carson,4,ST,28,Spain
Málaga CF,25.33333333,74.66666667,Álex Mula,8,ST,30,Venezuela
NAC Breda,23.3,70.03333333,V. Vermeer,7,ST,30,United States
Nagoya Grampus,26.59259259,66.51851852,Y. Takeda,6,ST,27,Japan
Napoli,25.92,83.44,V. Chiricheş,88,RW,25,Spain
Neuchâtel Xamax,27.22222222,64.62962963,W. Le Pogam,9,ST,27,Turkey
New England Revolution,25,69.55555556,Z. Herivaux,6,ST,27,Uruguay
New York City FC,25.38461538,72.38461538,Y. Herrera,9,ST,26,Venezuela
New York Red Bulls,23.65517241,73.31034483,V. Bezecourt,8,ST,29,Venezuela
Newcastle Jets,25.375,67.58333333,S. Ugarković,4,ST,24,Venezuela
Newcastle United,24.54545455,77.3030303,Y. Toure,71,ST,33,Wales
Newell's Old Boys,26.07142857,71.07142857,Zé Turbo,9,ST,28,São Tomé & Príncipe
Newport County,24.65384615,64.69230769,T. Hillman,4,ST,26,Wales
No Club,26.406639,70.56016598,Z. Kalmár,0,ST,241,Wales
Northampton Town,23.71428571,65.92857143,Y. Kasim,5,ST,28,Wales
Norwich City,24.86666667,74.1,T. Trybull,9,ST,30,Wales
Nottingham Forest,26.63333333,73.93333333,Tobias Figueiredo,7,ST,30,Zimbabwe
Notts County,25.71428571,65.85714286,W. Patching,6,ST,28,Wales
Nîmes Olympique,24.74074074,72.37037037,U. Bozok,9,ST,27,Senegal
OGC Nice,22.82142857,79.46428571,Y. Clementia,8,ST,28,Tunisia
Odds BK,23.95652174,69.95652174,V. Myhra,3,ST,23,Sweden
Odense Boldklub,24.37037037,69.44444444,Y. Dieudonne,9,ST,27,Norway
Ohod Club,26.12,65.44,Z. Laaroubi,7,ST,25,Syria
Oldham Athletic,24,67.72,Z. de la Paz,7,ST,25,Northern Ireland
Olympiacos CFP,24.64285714,77.10714286,Y. Meriah,1,ST,28,Tunisia
Olympique Lyonnais,22.79310345,81.75862069,Z. Brault-Guillard,93,ST,29,Switzerland
Olympique de Marseille,25.62068966,78.44827586,Y. Pelé,75,ST,29,Tunisia
Once Caldas,25.85714286,70.64285714,Y. Hinestroza,4,ST,28,Venezuela
Orlando City SC,25.9,70.26666667,Y. Yotún,8,ST,30,United States
Orlando Pirates,26.92857143,68.75,X. Mlambo,1,ST,28,Zimbabwe
Os Belenenses,26,70.79166667,Z. Bergdich,5,ST,24,Serbia
Oxford United,24.67857143,68.42857143,T. McMahon,8,ST,28,Scotland
PAOK,26.96296296,75.11111111,Y. Shakhov,1,ST,27,Ukraine
PEC Zwolle,23.37037037,72.07407407,Z. Flemming,8,ST,27,Netherlands
PFC CSKA Moscow,22.67857143,76.67857143,V. Vasin,1,ST,28,Uruguay
PSV,22.36666667,79.43333333,Y. van Osch,9,ST,30,Uruguay
Pachuca,24.82758621,73.48275862,V. Guzmán,9,ST,29,Uruguay
Padova,25.8,69.33333333,V. Sarno,9,ST,30,Italy
Palermo,24.56666667,74.23333333,S. Santoro,7,ST,30,Uruguay
Panathinaikos FC,23.07142857,73.71428571,V. Xenopoulos,1,ST,28,Sweden
Paraná,31.6,68.7,Wilsson Rosito,8,ST,20,Brazil
Paris FC,25.92,68.08,Y. Mamilonne,7,ST,25,Switzerland
Paris Saint-Germain,24.56666667,83.56666667,Y. Adli,91,ST,30,Uruguay
Parma,27.68965517,73.37931034,Y. Baraye,7,ST,29,Slovenia
Patriotas Boyacá FC,26.07142857,68.53571429,S. Roa,2,ST,28,Panama
Patronato,27.75,67.89285714,W. Andrade,9,ST,28,Uruguay
Perth Glory,27.24,67.52,Y. Mustafa,5,ST,25,Spain
Perugia,23.26923077,72.84615385,V. Verre,9,ST,26,Slovakia
Pescara,25.07142857,72.39285714,V. Fiorillo,9,ST,28,Uruguay
Peterborough United,24,69.76923077,T. Denton,7,ST,26,Wales
Philadelphia Union,25.24137931,70.72413793,W. Creavalle,9,ST,29,United States
Piast Gliwice,25.18518519,67.14814815,U. Korun,5,ST,27,Spain
Plymouth Argyle,25.28571429,68.10714286,Y. Songo'o,8,ST,28,Wales
Pogoń Szczecin,24.80769231,68.96153846,Z. Kozulj,5,ST,26,Spain
Pohang Steelers,25.07407407,68.51851852,Yoo Ji Ha,6,ST,27,Russia
Port Vale,25.96153846,63.57692308,T. Vassell,5,ST,26,Wales
Portimonense SC,23.88888889,74.7037037,Wilson Manafá,9,ST,27,Portugal
Portland Timbers,26.23333333,70.5,Z. Valentin,9,ST,30,United States
Portsmouth,23.5,71.32142857,T. Naylor,7,ST,28,Wales
Preston North End,23.48275862,73.31034483,T. Stead,9,ST,29,Wales
Puebla FC,25.93333333,68.9,V. Loroña,9,ST,30,Uruguay
Queens Park Rangers,24.6,72.36666667,Àngel Rangel,9,ST,30,Wales
Querétaro,24.93333333,70.56666667,V. Milke,8,ST,30,Uruguay
RB Leipzig,22.17857143,80.17857143,Y. Poulsen,74,ST,28,Uruguay
RC Celta,23.66666667,78.66666667,Sergio,9,ST,33,Uruguay
RC Strasbourg Alsace,24.75,74.39285714,Y. Fofana,7,ST,28,Tunisia
RCD Espanyol,25.03448276,76.79310345,Víctor Gómez,6,ST,29,Venezuela
RCD Mallorca,25.75,69.46428571,Álex López,9,ST,28,Spain
RSC Anderlecht,23.42857143,76.46428571,Z. Bakkali,7,ST,28,Zimbabwe
Racing Club,26.10714286,75.35714286,R. Schlegel,9,ST,28,Uruguay
Racing Club de Lens,23.73333333,71.76666667,Y. Gomis,9,ST,30,Tunisia
Randers FC,23.84,67.2,T. Damsgaard,4,ST,25,Sweden
Rangers FC,25.03571429,76.21428571,W. Foderingham,9,ST,28,Scotland
Ranheim Fotball,24.54166667,65.83333333,S. Sørløkk,2,ST,24,Norway
Rayo Vallecano,24.72727273,75.09090909,Álvaro García,9,ST,33,Uruguay
Reading,25.73333333,71.6,Y. Meité,9,ST,30,Wales
Real Betis,25.37037037,79.7037037,Z. Feddal,72,ST,27,Spain
Real Madrid,24.03030303,84.63636364,Vinícius Júnior,9,ST,33,Wales
Real Oviedo,25.7,73.16666667,Y. Bárcenas,9,ST,30,Spain
Real Salt Lake,26.16666667,70.63333333,T. Peay,9,ST,30,Wales
Real Sociedad,23.35483871,79.41935484,Zubiaurre,8,ST,31,Uruguay
Real Sporting de Gijón,24.3,73.96666667,Álvaro Traver,9,ST,30,Switzerland
Real Valladolid CF,24.83333333,74.93333333,Óscar Plano,9,ST,30,Turkey
Real Zaragoza,24.43333333,73.4,Álvaro,9,ST,30,Switzerland
Red Star FC,25.5,68.17857143,X. Tomas,5,ST,28,Tunisia
Rio Ave FC,23.96428571,74.60714286,Vinícius,9,ST,28,Portugal
Rionegro Águilas,26.32142857,69.25,Y. Díaz,2,ST,28,Uruguay
River Plate,25.92,76.72,S. Sosa,9,ST,25,Uruguay
Rochdale,24.92857143,68.60714286,Z. Clough,4,ST,28,Wales
Roma,25.65384615,82.19230769,W. Bianda,96,ST,26,Turkey
Rosario Central,25.39285714,72.25,W. Camacho,9,ST,28,Uruguay
Rosenborg BK,24.57692308,73,Y. de Lanlay,8,ST,26,Tunisia
Rotherham United,24.38461538,69.26923077,Z. Vyner,8,ST,26,Wales
Royal Antwerp FC,26,73.28,Z. Randriambololona,9,ST,25,Ukraine
Royal Excel Mouscron,23.92857143,70.39285714,Y. Mbombo,9,ST,28,Serbia
SC Braga,25.03571429,78.57142857,Wilson Eduardo,9,ST,28,South Africa
SC Fortuna Köln,25.69230769,66.80769231,T. Bröker,2,ST,26,Turkey
SC Freiburg,24.23333333,74.63333333,Y. Ravet,7,ST,30,United States
SC Heerenveen,22.81481481,73.33333333,Y. Kobayashi,8,ST,27,Slovenia
SC Paderborn 07,23.86666667,69.66666667,U. Hünemeier,8,ST,30,Turkey
SC Preußen Münster,23.40740741,67.55555556,U. Tezel,2,ST,27,Portugal
SCR Altach,25.76923077,66.69230769,V. Müller,5,ST,26,Zambia
SD Eibar,26.31034483,77,Ángel López,57,ST,29,Spain
SD Huesca,25.63333333,73.3,Álex Gallar,9,ST,30,Venezuela
SG Dynamo Dresden,23.78571429,72.42857143,V. Kušej,9,ST,28,Turkey
SG Sonnenhof Großaspach,24.33333333,67.95833333,Y. Thermann,3,ST,24,Germany
SK Brann,25.22222222,68.59259259,V. Wormgoor,9,ST,27,Norway
SK Rapid Wien,23.7037037,71.81481481,V. Berisha,9,ST,27,Turkey
SK Slavia Praha,25.39285714,72.82142857,V. Coufal,1,ST,28,Slovakia
SK Sturm Graz,23.92,71.6,T. Schützenauer,9,ST,25,Portugal
SKN St. Pölten,24.37037037,66.11111111,T. Vollnhofer,6,ST,27,Serbia
SL Benfica,24.5,81.5,Yuri Ribeiro,8,ST,28,Switzerland
SPAL,26.40740741,75.03703704,Éverton Luiz,9,ST,27,Switzerland
SV Darmstadt 98,25.44444444,70.88888889,Y. Stark,9,ST,27,United States
SV Mattersburg,25.81481481,65.85185185,T. Mahrer,8,ST,27,Spain
SV Meppen,25.35714286,65.53571429,Y. Nuxoll,6,ST,28,Slovenia
SV Sandhausen,26.17241379,70.51724138,T. Knipping,5,ST,29,United States
SV Wehen Wiesbaden,25,68.83333333,S. Reddemann,6,ST,24,Switzerland
SV Werder Bremen,25,77.84375,Y. Ōsako,7,ST,32,United States
SV Zulte-Waregem,25.80769231,71.23076923,U. Nissilä,9,ST,26,Tunisia
Sagan Tosu,27.26666667,66.73333333,Y. Yoshida,6,ST,30,Spain
Sampdoria,24.77777778,77.7037037,V. Regini,9,ST,27,Uruguay
San Jose Earthquakes,25.76923077,68.84615385,Y. Quintana,8,ST,26,Uruguay
San Lorenzo de Almagro,25.25,75.71428571,V. Salazar,9,ST,28,Colombia
San Luis de Quillota,24.92857143,68.10714286,S. Parada,3,ST,28,Uruguay
San Martin de Tucumán,26.5,69.14285714,R. Moreira,8,ST,28,Uruguay
San Martín de San Juan,27.78571429,67.92857143,P. Magnín,7,ST,28,Uruguay
Sandefjord Fotball,24.83333333,66.5,W. Kurtovic,2,ST,24,Sweden
Sanfrecce Hiroshima,27,67.53846154,Y. Nogami,9,ST,26,Thailand
Sangju Sangmu FC,26.03571429,63.35714286,Yoon Bo Sang,3,ST,28,Korea Republic
Santa Clara,26.65384615,70.76923077,Zé Manuel,6,ST,26,United States
Santos,29.6,70.2,Vieirundinho,9,ST,20,Brazil
Santos Laguna,25.34615385,72.73076923,U. Rivas,9,ST,26,Uruguay
Sarpsborg 08 FF,24.76923077,67.73076923,U. Mohammed,2,ST,26,Russia
Sassuolo,24.74074074,77.96296296,S. Sensi,9,ST,27,Uruguay
Scunthorpe United,23.51851852,68.88888889,Y. Ben El-Mhanni,9,ST,27,Wales
Seattle Sounders FC,26.37037037,71.22222222,W. Francis,8,ST,27,Uruguay
Sevilla FC,25.26666667,79.46666667,W. Ben Yedder,9,ST,30,Spain
Shakhtar Donetsk,25.21428571,77.78571429,Y. Rakitskyi,1,ST,28,Ukraine
Shamrock Rovers,23.59090909,68.68181818,T. Clarke,1,ST,22,Republic of Ireland
Shandong Luneng TaiShan FC,26.85185185,66.14814815,Zhou Haibin,7,ST,27,China PR
Shanghai Greenland Shenhua FC,27.57142857,66.07142857,Zhu Jianrong,6,ST,28,Senegal
Shanghai SIPG FC,24.67857143,68.28571429,Zhu Jiayi,8,ST,28,Uzbekistan
Sheffield United,25.6,71.63333333,S. Moore,9,ST,30,Wales
Sheffield Wednesday,26.16666667,72.33333333,T. Lees,9,ST,30,Wales
Shimizu S-Pulse,26.4,66.26666667,Y. Uekusa,7,ST,30,Korea Republic
Shonan Bellmare,25.6,64.8,Y. Akimoto,2,ST,30,Korea Republic
Shrewsbury,23.55555556,67.96296296,S. Whalley,5,ST,27,Wales
Sint-Truidense VV,24.28571429,71.96428571,Y. Boli,9,ST,28,Ukraine
Sivasspor,26.33333333,71.33333333,Z. Erdal,9,ST,27,Uruguay
Sligo Rovers,22.15789474,65.36842105,R. Murray,1,ST,19,Scotland
Southampton,23.72727273,77.42424242,Y. Valery,85,ST,33,Spain
Southend United,24.71428571,67.82142857,T. Smith,6,ST,28,Scotland
SpVgg Greuther Fürth,23.42857143,72.60714286,Y. Ideguchi,7,ST,28,United States
SpVgg Unterhaching,24.11538462,66.84615385,T. Hagn,4,ST,26,Korea Republic
Sparta Praha,25.64285714,71.39285714,V. Vukadinović,1,ST,28,Zimbabwe
Spartak Moscow,26.03703704,77.66666667,Zé Luís,1,ST,27,Serbia
Spezia,25,70.64285714,T. Augello,5,ST,28,Nigeria
Sport Club do Recife,30.2,69.4,Walter Silvieiro,9,ST,20,Brazil
Sporting CP,26.13333333,79.4,Wendel,9,ST,30,Uruguay
Sporting Kansas City,26.25925926,71.51851852,Y. Croizet,9,ST,27,United States
Sporting Lokeren,25.14285714,71.85714286,Y. Lawal,9,ST,28,United States
Sporting de Charleroi,25.03571429,72.14285714,V. Osimhen,9,ST,28,Sweden
St. Johnstone FC,24.77777778,67.85185185,Z. Clark,4,ST,27,Scotland
St. Mirren,24.66666667,66.55555556,S. McGinn,8,ST,27,Scotland
St. Patrick's Athletic,25.08695652,63,S. Madden,1,ST,23,Republic of Ireland
Stabæk Fotball,22.07407407,71.7037037,Zhou Xin,3,ST,27,Venezuela
Stade Brestois 29,25.2,70.28,Y. Court,7,ST,25,France
Stade Malherbe Caen,25.21428571,73.82142857,Y. Bammou,9,ST,28,Tunisia
Stade Rennais FC,24.55555556,76.96296296,T. Koubek,9,ST,27,Sweden
Stade de Reims,24.55172414,72.68965517,Y. Abdelhamid,8,ST,29,Turkey
Standard de Liège,24.92857143,75.14285714,Z. Vanheusden,9,ST,28,Ukraine
Stevenage,24.03571429,64.60714286,W. Appleyard,5,ST,28,Switzerland
Stoke City,26.23333333,75.56666667,T. Ince,8,ST,30,Wales
Strømsgodset IF,24.75,68.41666667,T. Nguen,4,ST,24,Norway
Sunderland,24.39285714,70.96428571,T. Flanagan,9,ST,28,Wales
Suwon Samsung Bluewings,27.21428571,68.71428571,You Ju An,9,ST,28,Montenegro
Swansea City,24.1,75.53333333,Y. Dhanda,8,ST,30,Wales
Swindon Town,24.11538462,65.07692308,W. Henry,6,ST,26,Wales
Sydney FC,24.64,69.08,T. Heward-Belle,6,ST,25,Serbia
SønderjyskE,25.25925926,65.85185185,W. Tchuameni,5,ST,27,Portugal
TSG 1899 Hoffenheim,23.6969697,79.18181818,V. Grifo,6,ST,33,Switzerland
TSV 1860 München,24.71428571,65.67857143,S. Seferings,4,ST,28,Italy
TSV Hartberg,23.61538462,66.53846154,Z. Sanogo,4,ST,26,Slovenia
Tianjin Quanjian FC,26.07692308,64.30769231,Zheng Dalun,8,ST,26,Korea Republic
Tianjin TEDA FC,26,62.85714286,Zhou Qiming,4,ST,28,Ghana
Tiburones Rojos de Veracruz,26.51724138,68.20689655,W. Cartagena,8,ST,29,Uruguay
Tigres U.A.N.L.,25.33333333,74.23333333,Rafael Carioca,70,ST,30,Peru
Torino,25.34615385,78.07692308,V. Parigini,9,ST,26,Venezuela
Toronto FC,25.89285714,71.5,Víctor Vázquez,9,ST,28,United States
Tottenham Hotspur,24.60606061,82.06060606,V. Wanyama,99,ST,33,Wales
Toulouse Football Club,23.64516129,76.41935484,Y. Sanogo,8,ST,31,Uruguay
Trabzonspor,26.25,72.85714286,Z. Yavru,8,ST,28,Turkey
Tranmere Rovers,24.39285714,64.25,Z. Bakayogo,5,ST,28,Northern Ireland
Trelleborgs FF,24.25925926,65.7037037,Z. Jovanovic,1,ST,27,United States
Tromsø IL,23.8,70.55,S. Wangberg,3,ST,20,Norway
U.N.A.M.,24,73.4137931,V. Malcorra,9,ST,29,United States
UD Almería,24.96666667,71.03333333,Álvaro,9,ST,30,Spain
UD Las Palmas,27.55172414,72.86206897,Álvaro Lemos,9,ST,29,Spain
US Cremonese,27.28,69.92,X. Emmers,9,ST,25,Serbia
US Orléans Loiret Football,25.48,68.6,Y. Demoncy,4,ST,25,Senegal
US Salernitana 1919,26.17857143,71.03571429,V. Mantovani,9,ST,28,Venezuela
Udinese,23.56666667,78.46666667,W. Troost-Ekong,8,ST,30,Venezuela
Ulsan Hyundai FC,26.96428571,68.82142857,Seol Tae Soo,7,ST,28,United States
Universidad Católica,23.96428571,72.96428571,Y. Oyanedel,9,ST,28,Cuba
Universidad de Chile,26.82142857,72.85714286,Y. Soteldo,9,ST,28,Venezuela
Unión Española,23.71428571,69.67857143,V. Méndez,4,ST,28,Uruguay
Unión La Calera,26.11111111,68.2962963,Y. Andia,7,ST,27,Uruguay
Unión de Santa Fe,24.39285714,72.28571429,Y. Gómez Andrade,8,ST,28,Uruguay
Urawa Red Diamonds,27.81481481,67.33333333,Z. Ljubijankič,8,ST,27,Slovenia
V-Varen Nagasaki,26.56666667,63.56666667,Y. Tokunaga,3,ST,30,Spain
VVV-Venlo,23.65384615,70.30769231,Y. Roemer,9,ST,26,Togo
Valencia CF,23.06060606,81.45454545,Álex Centelles,8,ST,33,Spain
Valenciennes FC,25,69.4137931,Thiago Xavier,6,ST,29,Senegal
Vancouver Whitecaps FC,26.11111111,70,Y. Reyna,9,ST,27,Venezuela
Vegalta Sendai,27.14814815,64.22222222,Y. Nakano,5,ST,27,Korea Republic
Vejle Boldklub,22.18518519,68.55555556,Zhen'ao Wang,4,ST,27,Ukraine
Vendsyssel FF,24.18518519,66.48148148,S. Henriksen,4,ST,27,United States
Venezia FC,26.39285714,69.75,S. Suciu,8,ST,28,Spain
VfB Stuttgart,24.51851852,78,T. Werner,9,ST,27,Turkey
VfL Bochum 1848,25.34615385,71.76923077,V. Janelt,9,ST,26,Serbia
VfL Osnabrück,23.96153846,68.11538462,U. Taffertshofer,4,ST,26,Turkey
VfL Sportfreunde Lotte,23.89285714,67.32142857,Y. Zummack,3,ST,28,Poland
VfL Wolfsburg,24.375,78.4375,Y. Gerhardt,8,RW,32,United States
VfR Aalen,23.66666667,68.95833333,Y. Letard,2,ST,24,United States
Viktoria Plzeň,27.95833333,71.79166667,U. Moses Ekpai,1,ST,24,Slovakia
Villarreal CF,26.59375,78.03125,Álvaro,9,ST,32,Spain
Vissel Kobe,27.26666667,65.5,Y. Matsushita,5,ST,30,Thailand
Vitesse,24.46428571,73.78571429,V. Karavaev,8,ST,28,South Africa
Vitória,30,70.4,Victildinho,8,ST,20,Brazil
Vitória Guimarães,24.56666667,76.9,Y. Osorio,9,ST,30,Venezuela
Vitória de Setúbal,25.39285714,72.60714286,Zequinha,7,ST,28,Venezuela
Vålerenga Fotball,23.19230769,69.61538462,S. Opsahl,3,ST,26,Uruguay
Vélez Sarsfield,23.21428571,73.46428571,T. Almada,8,ST,28,Uruguay
Waasland-Beveren,22.5,71.35714286,V. Moren,6,ST,28,Serbia
Walsall,23.81481481,69.37037037,Z. Ismail,7,ST,27,Scotland
Waterford FC,23.88,64.8,Z. Elbouzedi,3,RS,25,Republic of Ireland
Watford,25.48275862,77.17241379,Y. Kaboul,65,ST,29,Venezuela
Wellington Phoenix,25.38095238,66.66666667,T. Doyle,4,ST,21,Spain
West Bromwich Albion,25.8,74.66666667,W. Hoolahan,9,ST,30,Wales
West Ham United,25.4375,78.0625,Xande Silva,92,ST,32,Ukraine
Western Sydney Wanderers,24.08,68.28,V. Janjetović,9,ST,25,Spain
Wigan Athletic,24.53333333,72.2,W. Grigg,8,ST,30,Wales
Willem II,22.67857143,71.78571429,V. van den Bogert,6,ST,28,Spain
Wisła Kraków,24.5,69.19230769,Z. Ondrášek,6,ST,26,Spain
Wisła Płock,24.11538462,65.96153846,T. Dähne,6,ST,26,Uruguay
Wolfsberger AC,24.61538462,67.46153846,S. Sprangler,8,ST,26,Serbia
Wolverhampton Wanderers,22.84848485,77.57575758,W. Norris,85,ST,33,Spain
Wycombe Wanderers,27.4,67.48,Y. Ma-Kalambay,4,ST,25,Wales
Yeni Malatyaspor,25.86666667,69.33333333,T. Çalış,9,ST,30,Turkey
Yeovil Town,24.25,66.28571429,Y. Arquin,5,ST,28,Wales
Yokohama F. Marinos,25.03333333,66.3,Yun Il Lok,6,ST,30,Serbia
Zagłębie Lubin,25.7037037,65.88888889,V. Sirotov,4,ST,27,Slovenia
Zagłębie Sosnowiec,26.24,64.64,Z. Udovičić,2,ST,25,Slovenia
Çaykur Rizespor,25.43333333,71.66666667,V. Muriqi,9,ST,30,Ukraine
Örebro SK,24.03703704,66.51851852,V. Tranberg,4,ST,27,Syria
Östersunds FK,23.86363636,68.86363636,T. Tekie,8,ST,22,Sweden
Śląsk Wrocław,25.96,65.56,W. Golla,4,ST,25,Slovakia
